cntry,country,year,pop,unempl,gdp,gov_debt,date,exports,imports,debt_share_country,debt_share_year
ROM,Romania,2006,21.19,7.2,98.4175,12.59,2006-01-01,31.55285,43.29624,0.12792440368836844,0.4523885534950629
SVN,Slovenia,2006,2.01,6,31.56116,8.2,2006-01-01,20.41862,20.43371,0.2598130106751463,0.4523885534950629
SVK,Slovakia,2006,5.37,13.5,45.53016,15.25,2006-01-01,36.89156,38.70267,0.3349428159268493,0.4523885534950629
FIN,Finland,2006,5.27,7.7,172.614,65.9,2006-01-01,74.519,67.34,0.3817766809181179,0.4523885534950629
SWE,Sweden,2006,9.08,7.1,334.877,149.7,2006-01-01,161.3772,135.9583,0.4470298049731692,0.4523885534950629
GBR,United Kingdom,2006,60.85,5.4,2135.219,888.7,2006-01-01,571.77,624.7426,0.4162102341727008,0.4523885534950629
BEL,Belgium,2007,10.63,7.5,344.713,300,2007-01-01,267.121,253.959,0.8702891971001964,0.4296971497660321
BGR,Bulgaria,2007,7.55,6.9,32.44911,5.3,2007-01-01,16.99691,23.10757,0.16333267692087702,0.4296971497660321
CZE,Czech Republic,2007,10.3,5.3,138.0062,40.01,2007-01-01,91.847,88.4654,0.289914511087183,0.4296971497660321
DNK,Denmark,2007,5.46,3.8,233.3818,63.8,2007-01-01,120.1509,113.3892,0.2733717882028504,0.4296971497660321
DEU,Germany,2007,82.27,8.5,2513.23,1599.9,2007-01-01,1080.938,913.826,0.6365911595834842,0.4296971497660321
EST,Estonia,2007,1.34,4.6,16.2464,0.595,2007-01-01,10.26702,11.70878,0.036623498128816226,0.4296971497660321
IRL,Ireland,2007,4.4,4.7,197.2934,47.1,2007-01-01,159.3046,142.9937,0.23873074314700848,0.4296971497660321
GRC,Greece,2007,11.05,8.4,232.6946,239.9,2007-01-01,52.40345,81.45266,1.0309650503277688,0.4296971497660321
ESP,Spain,2007,45.23,8.2,1080.807,384.7,2007-01-01,277.851,342.602,0.3559377391153092,0.4296971497660321
FRA,France,2007,63.83,8,1945.67,1252,2007-01-01,527.829,552.946,0.6434801379473395,0.4296971497660321
HRV,Croatia,2007,4.31,9.9,43.926,16.59,2007-01-01,17.13136,20.32366,0.37768064472066654,0.4296971497660321
ITA,Italy,2007,58.44,6.1,1609.551,1606.2,2007-01-01,441.4547,447.237,0.9979180529228339,0.4296971497660321
CYP,Cyprus,2007,0.77,3.9,17.59105,9.37,2007-01-01,9.36879,10.20563,0.5326572319446536,0.4296971497660321
LVA,Latvia,2007,2.2,6.1,22.68054,1.92,2007-01-01,8.72089,13.03497,0.08465406908301125,0.4296971497660321
LTU,Lithuania,2007,3.23,4.3,29.04066,4.61,2007-01-01,14.62439,18.43592,0.15874294867954106,0.4296971497660321
LUX,Luxembourg,2007,0.48,4.2,37.17887,2.87,2007-01-01,67.9957,55.6259,0.07719438487506479,0.4296971497660321
HUN,Hungary,2007,10.06,7.4,101.6916,66.04,2007-01-01,79.6341,78.9313,0.6494145042461719,0.4296971497660321
MLT,Malta,2007,0.41,6.5,5.75748,3.592,2007-01-01,7.45809,7.42563,0.6238840603875306,0.4296971497660321
NLD,Netherlands,2007,16.38,4.2,613.28,262.1,2007-01-01,430.974,376.85,0.4273741194886512,0.4296971497660321
AUT,Austria,2007,8.3,4.9,282.3469,183.8,2007-01-01,148.1902,136.4687,0.6509722614273434,0.4296971497660321
POL,Poland,2007,38.12,9.6,313.8738,145.9,2007-01-01,121.0442,132.1328,0.4648365043530234,0.4296971497660321
PRT,Portugal,2007,10.54,9.1,175.4677,120.1,2007-01-01,54.40507,67.8136,0.6844564555185939,0.4296971497660321
ROM,Romania,2007,20.88,6.4,125.4034,14.76,2007-01-01,36.5489,54.48402,0.11770015804994122,0.4296971497660321
SVN,Slovenia,2007,2.01,4.9,35.152589999999996,8.03,2007-01-01,23.76212,24.21834,0.22843267025274666,0.4296971497660321
SVK,Slovakia,2007,5.37,11.2,56.24163,17.03,2007-01-01,46.83565,47.46518,0.30280061228666383,0.4296971497660321
FIN,Finland,2007,5.29,6.9,186.584,63.4,2007-01-01,82.091,73.102,0.3397933370492647,0.4296971497660321
SWE,Sweden,2007,9.15,6.1,356.434,136,2007-01-01,172.0082,147.1421,0.3815573149587301,0.4296971497660321
GBR,United Kingdom,2007,61.32,5.3,2237.042,877.4,2007-01-01,556.2217,614.5877,0.39221436164363477,0.4296971497660321
BEL,Belgium,2008,10.71,7,354.066,327.6,2008-01-01,282.176,280.463,0.925251224348003,0.4515170936142974
BGR,Bulgaria,2008,7.49,5.6,37.20006,4.85,2008-01-01,19.54619,26.89623,0.13037613380193472,0.4515170936142974
CZE,Czech Republic,2008,10.38,4.4,160.9595,42.82,2008-01-01,101.9911,98.5005,0.26602965342213414,0.4515170936142974
DNK,Denmark,2008,5.49,3.4,241.6137,80.5,2008-01-01,130.8962,122.3831,0.3331764713673107,0.4515170936142974
DEU,Germany,2008,82.11,7.4,2561.74,1668.9,2008-01-01,1113.329,960.269,0.6514712656241461,0.4515170936142974
EST,Estonia,2008,1.34,5.5,16.51727,0.741,2008-01-01,11.03316,11.68187,0.04486213520757365,0.4515170936142974
IRL,Ireland,2008,4.49,6.4,187.6872,79.6,2008-01-01,157.9404,141.7849,0.42410990200716936,0.4515170936142974
GRC,Greece,2008,11.08,7.8,241.9904,264.8,2008-01-01,56.53275,87.03946,1.094258284626167,0.4515170936142974
ESP,Spain,2008,45.95,11.3,1116.207,440.6,2008-01-01,282.589,339.795,0.39472965139978516,0.4515170936142974
FRA,France,2008,64.18,7.4,1995.85,1357.3,2008-01-01,546.588,581.543,0.6800611268381892,0.4515170936142974
HRV,Croatia,2008,4.31,8.6,48.12989,18.7,2008-01-01,18.51906,22.38877,0.3885319496886446,0.4515170936142974
ITA,Italy,2008,58.83,6.7,1632.151,1671.4,2008-01-01,440.102,452.9784,1.0240474073783614,0.4515170936142974
CYP,Cyprus,2008,0.79,3.7,19.00596,8.49,2008-01-01,9.52025,11.9464,0.44670198190462357,0.4515170936142974
LVA,Latvia,2008,2.18,7.7,24.35574,4.51,2008-01-01,9.63082,12.77679,0.18517195535836725,0.4515170936142974
LTU,Lithuania,2008,3.2,5.8,32.69628,4.76,2008-01-01,18.68233,22.46575,0.14558231089285997,0.4515170936142974
LUX,Luxembourg,2008,0.49,4.9,38.12858,5.68,2008-01-01,71.3431,59.6522,0.14896961806602815,0.4515170936142974
HUN,Hungary,2008,10.04,7.8,107.6364,72.64,2008-01-01,85.7282,85.3271,0.6748646368700552,0.4515170936142974
MLT,Malta,2008,0.41,6,6.12868,3.846,2008-01-01,9.09971,9.11493,0.6275413302701397,0.4515170936142974
NLD,Netherlands,2008,16.45,3.7,639.163,350.5,2008-01-01,457.913,402.775,0.5483734196128374,0.4515170936142974
AUT,Austria,2008,8.32,4.1,291.9304,201,2008-01-01,155.1754,142.9587,0.6885202774359915,0.4515170936142974
POL,Poland,2008,38.13,7.1,366.1825,143.3,2008-01-01,138.6257,157.083,0.39133492179446044,0.4515170936142974
PRT,Portugal,2008,10.56,8.8,178.8726,128.2,2008-01-01,55.67458,73.04809,0.716711223518862,0.4515170936142974
ROM,Romania,2008,20.54,5.6,142.3946,17.16,2008-01-01,38.35345,57.22177,0.1205101878863384,0.4515170936142974
SVN,Slovenia,2008,2.02,4.4,37.95119,8.27,2008-01-01,25.08909,25.82029,0.21791148050957032,0.4515170936142974
SVK,Slovakia,2008,5.38,9.6,66.00277,19.49,2008-01-01,52.83214,54.70019,0.29529063704447556,0.4515170936142974
FIN,Finland,2008,5.31,6.4,193.711,63.3,2008-01-01,87.321,80.262,0.3267754541559333,0.4515170936142974
SWE,Sweden,2008,9.22,6.2,352.3157,116.9,2008-01-01,175.4994,153.4195,0.3318046854000546,0.4515170936142974
GBR,United Kingdom,2008,61.81,5.6,1964.438,824.1,2008-01-01,528.4543,586.4599,0.4195092947703109,0.4515170936142974
BEL,Belgium,2009,10.8,7.9,348.781,347.1,2009-01-01,241.739,233.847,0.9951803567281475,0.5523914030031455
BGR,Bulgaria,2009,7.44,6.8,37.31766,5.11,2009-01-01,15.79731,18.88611,0.13693248719239098,0.5523914030031455
CZE,Czech Republic,2009,10.44,6.7,148.3579,50.45,2009-01-01,87.2533,81.4906,0.3400560401569448,0.5523914030031455
DNK,Denmark,2009,5.52,6,231.2769,93,2009-01-01,108.9916,98.591,0.4021153863615432,0.5523914030031455
DEU,Germany,2009,81.9,7.6,2460.28,1785.6,2009-01-01,930.04,808.518,0.7257710504495423,0.5523914030031455
EST,Estonia,2009,1.33,13.5,14.14586,0.996,2009-01-01,8.60135,7.89975,0.07040929289558924,0.5523914030031455
IRL,Ireland,2009,4.54,12,169.7044,104.7,2009-01-01,158.5963,135.6743,0.6169551290361358,0.5523914030031455
GRC,Greece,2009,11.11,9.6,237.5342,301.1,2009-01-01,45.08918,68.31877,1.2676069382850976,0.5523914030031455
ESP,Spain,2009,46.36,17.9,1079.034,569.5,2009-01-01,244.658,257.071,0.5277868908672015,0.5523914030031455
FRA,France,2009,64.5,9.1,1939.017,1530.7,2009-01-01,466.753,494.376,0.7894206187980817,0.5523914030031455
HRV,Croatia,2009,4.31,9.3,45.09051,22.2,2009-01-01,15.56674,17.24193,0.4923430673106159,0.5523914030031455
ITA,Italy,2009,59.1,7.7,1572.878,1770.2,2009-01-01,353.5295,363.8464,1.125452832323931,0.5523914030031455
CYP,Cyprus,2009,0.81,5.4,18.67353,9.96,2009-01-01,9.09911,10.09764,0.5333753178965092,0.5523914030031455
LVA,Latvia,2009,2.14,17.5,18.74883,6.82,2009-01-01,7.98754,8.2914,0.363756031709712,0.5523914030031455
LTU,Lithuania,2009,3.16,13.8,26.93482,7.53,2009-01-01,13.98973,14.44228,0.27956377655391795,0.5523914030031455
LUX,Luxembourg,2009,0.5,5.1,36.97652,5.82,2009-01-01,60.6672,48.7733,0.1573971806973723,0.5523914030031455
HUN,Hungary,2009,10.02,10,93.8098,75.7,2009-01-01,70.1419,66.3342,0.8069519389232256,0.5523914030031455
MLT,Malta,2009,0.41,6.9,6.13862,4.162,2009-01-01,9.06888,9.16119,0.6780025478039038,0.5523914030031455
NLD,Netherlands,2009,16.53,4.4,617.54,351.1,2009-01-01,390.004,344.748,0.5685461670499078,0.5523914030031455
AUT,Austria,2009,8.34,5.3,286.1884,229.2,2009-01-01,128.4867,119.9449,0.8008710346051762,0.5523914030031455
POL,Poland,2009,38.08,8.1,317.0818,165.3,2009-01-01,117.9051,120.6225,0.5213165813995001,0.5523914030031455
PRT,Portugal,2009,10.57,10.7,175.4482,146.7,2009-01-01,47.51262,59.65513,0.836144229464879,0.5523914030031455
ROM,Romania,2009,20.37,6.5,120.4084,27.97,2009-01-01,32.95803,40.67583,0.23229276362778675,0.5523914030031455
SVN,Slovenia,2009,2.04,5.9,36.1662,12.53,2009-01-01,20.7025,20.02662,0.34645608330430067,0.5523914030031455
SVK,Slovakia,2009,5.39,12.1,64.02306,23.24,2009-01-01,43.28551,44.23499,0.36299420864919607,0.5523914030031455
FIN,Finland,2009,5.34,8.2,181.029,75.5,2009-01-01,65.661,62.021,0.4170602500151909,0.5523914030031455
SWE,Sweden,2009,9.3,8.3,309.68,131.7,2009-01-01,137.6599,119.8183,0.42527770601911646,0.5523914030031455
GBR,United Kingdom,2009,62.28,7.6,1705.457,1103.3,2009-01-01,447.3704,485.9308,0.6469233759631582,0.5523914030031455
BEL,Belgium,2010,10.92,8.3,365.101,364.1,2010-01-01,279.114,272.554,0.9972582929107289,0.6078374449109474
BGR,Bulgaria,2010,7.4,10.3,38.23052,5.86,2010-01-01,19.18367,20.27305,0.1532806773227254,0.6078374449109474
CZE,Czech Republic,2010,10.47,7.3,156.3696,60.19,2010-01-01,103.4802,98.6346,0.3849213657897699,0.6078374449109474
DNK,Denmark,2010,5.55,7.5,243.1656,103.5,2010-01-01,122.8544,105.9644,0.4256358629674592,0.6078374449109474
DEU,Germany,2010,81.78,7,2580.06,2088.8,2010-01-01,1090.085,955.982,0.8095935753432092,0.6078374449109474
EST,Estonia,2010,1.33,16.7,14.71653,0.965,2010-01-01,11.04891,10.11348,0.06557252287054081,0.6078374449109474
IRL,Ireland,2010,4.56,13.9,167.1243,144.2,2010-01-01,172.7948,144.9247,0.8628308390820484,0.6078374449109474
GRC,Greece,2010,11.12,12.7,226.0315,330.6,2010-01-01,49.95793,69.45244,1.4626279965403053,0.6078374449109474
ESP,Spain,2010,46.58,19.9,1080.913,650.1,2010-01-01,275.847,289.953,0.6014360082633847,0.6078374449109474
FRA,France,2010,64.82,9.3,1998.481,1631.7,2010-01-01,520.469,558.08,0.8164701090478218,0.6078374449109474
HRV,Croatia,2010,4.3,11.8,45.00453,25.91,2010-01-01,16.98356,17.17381,0.5757198219823648,0.6078374449109474
ITA,Italy,2010,59.28,8.4,1604.515,1851.7,2010-01-01,404.1485,435.7443,1.1540558985113882,0.6078374449109474
CYP,Cyprus,2010,0.83,6.3,19.2995,10.77,2010-01-01,9.69081,11.09298,0.5580455452213788,0.6078374449109474
LVA,Latvia,2010,2.1,19.5,17.78814,8.43,2010-01-01,9.54464,9.8069,0.4739112689690997,0.6078374449109474
LTU,Lithuania,2010,3.1,17.8,28.02766,10.15,2010-01-01,18.31388,18.84009,0.36214225518648363,0.6078374449109474
LUX,Luxembourg,2010,0.51,4.6,40.17781,7.95,2010-01-01,70.1196,56.9072,0.19787041653091594,0.6078374449109474
HUN,Hungary,2010,10,11.2,98.3224,78.43,2010-01-01,80.8687,75.6248,0.7976819117515439,0.6078374449109474
MLT,Malta,2010,0.41,6.9,6.59951,4.463,2010-01-01,10.1141,10.17417,0.6762623285668178,0.6078374449109474
NLD,Netherlands,2010,16.62,5,631.512,374.7,2010-01-01,454.398,401.585,0.5933378938167446,0.6078374449109474
AUT,Austria,2010,8.36,4.8,294.6275,243.9,2010-01-01,150.2707,140.4769,0.8278249654224402,0.6078374449109474
POL,Poland,2010,38.04,9.7,361.8064,193.2,2010-01-01,144.9221,152.1513,0.5339872373733576,0.6078374449109474
PRT,Portugal,2010,10.57,12,179.9298,173.1,2010-01-01,53.75089,67.3506,0.962041862993234,0.6078374449109474
ROM,Romania,2010,20.25,7,126.7476,37.47,2010-01-01,40.94174,48.72528,0.2956268994442498,0.6078374449109474
SVN,Slovenia,2010,2.05,7.3,36.25243,13.91,2010-01-01,23.306,22.78582,0.38369841690612194,0.6078374449109474
SVK,Slovakia,2010,5.39,14.5,67.57729,27.84,2010-01-01,51.5853,52.56689,0.4119727204213131,0.6078374449109474
FIN,Finland,2010,5.36,8.4,187.1,88.2,2010-01-01,72.366,69.998,0.47140566541956175,0.6078374449109474
SWE,Sweden,2010,9.38,8.6,369.0779,150.3,2010-01-01,170.4593,150.2799,0.4072311021602757,0.6078374449109474
GBR,United Kingdom,2010,62.77,7.8,1833.013,1387.6,2010-01-01,517.9462,567.5974,0.75700499669124,0.6078374449109474
BEL,Belgium,2011,11.05,7.2,379.106,388.9,2011-01-01,309.486,307.524,1.0258344631844392,0.6467839563142249
BGR,Bulgaria,2011,7.35,11.3,41.29204,6.28,2011-01-01,24.39082,24.23549,0.15208742411370327,0.6467839563142249
CZE,Czech Republic,2011,10.5,6.7,164.042,62.3,2011-01-01,116.9737,110.692,0.37978078784701474,0.6467839563142249
DNK,Denmark,2011,5.57,7.6,247.8783,114.5,2011-01-01,133.4084,117.5578,0.4619202245618112,0.6467839563142249
DEU,Germany,2011,81.04,5.8,2703.12,2128.3,2011-01-01,1211.489,1079.344,0.7873494332475067,0.6467839563142249
EST,Estonia,2011,1.33,12.3,16.66763,1.011,2011-01-01,14.42412,13.46915,0.06065649405464364,0.6467839563142249
IRL,Ireland,2011,4.58,14.7,173.0702,189.7,2011-01-01,177.3031,145.1427,1.096087021335851,0.6467839563142249
GRC,Greece,2011,11.1,17.9,207.0289,356.3,2011-01-01,52.86568,66.88938,1.721015761567588,0.6467839563142249
ESP,Spain,2011,46.74,21.4,1070.413,744.3,2011-01-01,309.575,312.207,0.695339088744251,0.6467839563142249
FRA,France,2011,65.13,9.2,2059.284,1753.7,2011-01-01,572.553,625.312,0.8516066749413874,0.6467839563142249
HRV,Croatia,2011,4.28,13.7,44.7083,28.75,2011-01-01,18.06462,18.27125,0.6430573293996864,0.6467839563142249
ITA,Italy,2011,59.38,8.4,1637.463,1907.9,2011-01-01,442.2189,467.9319,1.1651560981835927,0.6467839563142249
CYP,Cyprus,2011,0.85,7.9,19.73106,12.87,2011-01-01,10.44318,11.02202,0.6522710893383326,0.6467839563142249
LVA,Latvia,2011,2.06,16.2,20.20281,8.71,2011-01-01,11.6806,12.68627,0.4311281450451695,0.6467839563142249
LTU,Lithuania,2011,3.03,15.4,31.27532,11.63,2011-01-01,23.45505,24.25271,0.3718587052026966,0.6467839563142249
LUX,Luxembourg,2011,0.52,4.8,43.16465,8.07,2011-01-01,76.8286,62.7873,0.1869585413063699,0.6467839563142249
HUN,Hungary,2011,9.96,11,100.8192,72.23,2011-01-01,87.8867,81.7043,0.7164309972703613,0.6467839563142249
MLT,Malta,2011,0.42,6.4,6.8343,4.809,2011-01-01,10.98887,10.81507,0.7036565559018481,0.6467839563142249
NLD,Netherlands,2011,16.69,5,642.929,396.3,2011-01-01,497.347,442.443,0.6163977670940337,0.6467839563142249
AUT,Austria,2011,8.39,4.6,308.6303,254.9,2011-01-01,165.6476,157.8707,0.8259072424191664,0.6467839563142249
POL,Poland,2011,38.06,9.7,380.238,190.2,2011-01-01,161.8425,169.2814,0.5002130244741451,0.6467839563142249
PRT,Portugal,2011,10.56,12.9,176.1666,196.2,2011-01-01,60.40987,67.95194,1.1137184914734122,0.6467839563142249
ROM,Romania,2011,20.15,7.2,133.3064,44.69,2011-01-01,49.11761,56.5381,0.3352427190292439,0.6467839563142249
SVN,Slovenia,2011,2.05,8.2,36.8963,17.2,2011-01-01,25.96539,25.28811,0.4661714047207986,0.6467839563142249
SVK,Slovakia,2011,5.4,13.7,70.62721,30.85,2011-01-01,60.06634,60.71174,0.4368004909156117,0.6467839563142249
FIN,Finland,2011,5.39,7.8,196.869,95.5,2011-01-01,77.093,78.768,0.48509414890104585,0.6467839563142249
SWE,Sweden,2011,9.45,7.8,404.9435,154,2011-01-01,189.0394,169.9897,0.38029996777328196,0.6467839563142249
GBR,United Kingdom,2011,63.26,8.1,1876.141,1590.8,2011-01-01,572.6419,603.8212,0.8479106847513059,0.6467839563142249
BEL,Belgium,2012,11.13,7.6,387.5,404.3,2012-01-01,318.935,316.546,1.0433548387096774,0.6876263218834735
BGR,Bulgaria,2012,7.31,12.3,41.94724,7,2012-01-01,25.50468,26.83554,0.16687629507924717,0.6876263218834735
CZE,Czech Republic,2012,10.51,7,161.4339,71.78,2012-01-01,122.9643,115.2112,0.4446401901954918,0.6876263218834735
DNK,Denmark,2012,5.59,7.5,254.5785,114,2012-01-01,139.0775,123.7519,0.4477990089500881,0.6876263218834735
DEU,Germany,2012,80.43,5.4,2758.26,2204.9,2012-01-01,1268.318,1100.331,0.7993807690355513,0.6876263218834735
EST,Estonia,2012,1.32,10,17.93489,1.746,2012-01-01,15.42211,15.14403,0.09735214433988723,0.6876263218834735
IRL,Ireland,2012,4.59,14.7,175.7525,210,2012-01-01,187.662,157.516,1.1948620930000995,0.6876263218834735
GRC,Greece,2012,11.05,24.5,191.2039,305.1,2012-01-01,54.84492,63.35307,1.5956787492305335,0.6876263218834735
ESP,Spain,2012,46.77,24.8,1039.758,891.5,2012-01-01,319.223,303.95,0.8574110514177337,0.6876263218834735
FRA,France,2012,65.44,9.8,2086.929,1868.4,2012-01-01,595.23,640.24,0.895286806594762,0.6876263218834735
HRV,Croatia,2012,4.27,15.8,43.93385,30.9,2012-01-01,18.26522,18.05734,0.7033301201693,0.6876263218834735
ITA,Italy,2012,59.54,10.7,1613.265,1990,2012-01-01,461.1739,445.2372,1.2335233207191627,0.6876263218834735
CYP,Cyprus,2012,0.86,11.9,19.46697,15.43,2012-01-01,10.41615,10.70482,0.7926246354722897,0.6876263218834735
LVA,Latvia,2012,2.03,15,22.05932,9.09,2012-01-01,13.52446,14.5054,0.41207072566153446,0.6876263218834735
LTU,Lithuania,2012,2.99,13.4,33.34825,13.26,2012-01-01,27.22007,26.93321,0.39762206412630346,0.6876263218834735
LUX,Luxembourg,2012,0.53,5.1,44.1121,9.58,2012-01-01,82.2445,68.558,0.21717397267416425,0.6876263218834735
HUN,Hungary,2012,9.92,11,99.0858,76.68,2012-01-01,85.9756,79.3239,0.773874763084115,0.6876263218834735
MLT,Malta,2012,0.42,6.3,7.15957,4.873,2012-01-01,11.88075,11.53499,0.6806274678507229,0.6876263218834735
NLD,Netherlands,2012,16.75,5.8,645.164,428.3,2012-01-01,528.623,466.677,0.6638622117787105,0.6876263218834735
AUT,Austria,2012,8.43,4.9,317.117,260.1,2012-01-01,170.5988,162.374,0.8202020074609687,0.6876263218834735
POL,Poland,2012,38.06,10.1,389.3654,214.8,2012-01-01,173.0515,174.7658,0.5516668918193552,0.6876263218834735
PRT,Portugal,2012,10.51,15.8,168.398,212.6,2012-01-01,63.50384,64.35899,1.2624853026758038,0.6876263218834735
ROM,Romania,2012,20.06,6.8,133.5111,49.92,2012-01-01,50.01872,56.6589,0.37390149583068377,0.6876263218834735
SVN,Slovenia,2012,2.06,8.9,36.0025,19.4,2012-01-01,26.38051,24.85881,0.5388514686480106,0.6876263218834735
SVK,Slovakia,2012,5.41,14,72.70351,37.93,2012-01-01,66.47291,63.80733,0.5217079615550887,0.6876263218834735
FIN,Finland,2012,5.41,7.7,199.793,107.7,2012-01-01,78.881,81.764,0.5390579249523256,0.6876263218834735
SWE,Sweden,2012,9.52,8,423.3424,162.2,2012-01-01,196.1055,175.2294,0.38314140043614814,0.6876263218834735
GBR,United Kingdom,2012,63.7,7.9,2065.735,1745.9,2012-01-01,615.5619,661.6037,0.8451713312694997,0.6876263218834735
BEL,Belgium,2013,11.18,8.4,391.712,413.7,2013-01-01,320.461,315.988,1.0561330773629605,0.7221310523493829
BGR,Bulgaria,2013,7.27,13,42.0115,7.15,2013-01-01,27.16149,27.33365,0.17019149518584198,0.7221310523493829
CZE,Czech Republic,2013,10.51,7,157.7434,67.1,2013-01-01,121.2588,112.1669,0.4253743738248319,0.7221310523493829
DNK,Denmark,2013,5.61,7,258.7418,113.9,2013-01-01,141.8651,124.7688,0.4402071872422624,0.7221310523493829
DEU,Germany,2013,80.65,5.2,2826.24,2189.8,2013-01-01,1284.744,1116.353,0.7748103487318841,0.7221310523493829
EST,Estonia,2013,1.32,8.6,18.89013,1.924,2013-01-01,15.95556,15.59129,0.10185213124525877,0.7221310523493829
IRL,Ireland,2013,4.6,13.1,180.2093,215.3,2013-01-01,191.183,157.314,1.1947219150177044,0.7221310523493829
GRC,Greece,2013,10.97,27.5,180.6543,320.5,2013-01-01,54.83477,59.91528,1.7741066777818186,0.7221310523493829
ESP,Spain,2013,46.62,26.1,1025.634,979,2013-01-01,330.453,297.062,0.954531538541039,0.7221310523493829
FRA,France,2013,65.77,10.3,2115.256,1952.9,2013-01-01,605.134,644.957,0.9232452242187235,0.7221310523493829
HRV,Croatia,2013,4.25,17.4,43.487,35.51,2013-01-01,18.71233,18.51094,0.8165658702600777,0.7221310523493829
ITA,Italy,2013,60.23,12.1,1604.599,2070.2,2013-01-01,463.1289,426.8876,1.2901665774439595,0.7221310523493829
CYP,Cyprus,2013,0.86,15.9,18.11822,18.52,2013-01-01,10.63911,10.30826,1.0221754675680061,0.7221310523493829
LVA,Latvia,2013,2.01,11.9,22.83017,8.89,2013-01-01,13.76759,14.49858,0.389397012812432,0.7221310523493829
LTU,Lithuania,2013,2.96,11.8,35.00205,13.55,2013-01-01,29.38787,28.95062,0.3871201829607124,0.7221310523493829
LUX,Luxembourg,2013,0.54,5.9,46.5514,10.89,2013-01-01,89.4408,74.2861,0.23393496221381097,0.7221310523493829
HUN,Hungary,2013,9.89,10.2,101.4823,77.69,2013-01-01,87.2745,80.1679,0.7655522194510767,0.7221310523493829
MLT,Malta,2013,0.42,6.4,7.63099,5.246,2013-01-01,12.07004,11.55479,0.6874599494954129,0.7221310523493829
NLD,Netherlands,2013,16.8,7.3,652.748,442.2,2013-01-01,535.32,465.502,0.6774436689197055,0.7221310523493829
AUT,Austria,2013,8.48,5.4,322.5392,262.3,2013-01-01,171.5662,163.2391,0.8132344843665514,0.7221310523493829
POL,Poland,2013,38.04,10.3,394.7222,222.1,2013-01-01,182.8405,175.1519,0.5626742047951698,0.7221310523493829
PRT,Portugal,2013,10.46,16.4,170.2693,219.7,2013-01-01,67.28393,65.57271,1.290308940014436,0.7221310523493829
ROM,Romania,2013,19.98,7.1,144.2538,53.85,2013-01-01,57.3383,58.45733,0.37330039139350224,0.7221310523493829
SVN,Slovenia,2013,2.06,10.1,35.91708,25.5,2013-01-01,27.00485,24.98786,0.7099686277392261,0.7221310523493829
SVK,Slovakia,2013,5.41,14.2,74.16987,40.6,2013-01-01,69.58581,66.4458,0.5473920879192589,0.7221310523493829
FIN,Finland,2013,5.44,8.2,203.338,114.8,2013-01-01,78.924,80.724,0.5645772064247706,0.7221310523493829
SWE,Sweden,2013,9.6,8,435.7502,172.1,2013-01-01,190.8616,171.2193,0.39495105223130134,0.7221310523493829
GBR,United Kingdom,2013,64.13,7.6,2048.339,1799,2013-01-01,609.5246,655.7275,0.8782725906209861,0.7221310523493829
BEL,Belgium,2014,11.23,8.5,400.805,427.5,2014-01-01,333.478,329.805,1.066603460535672,0.7335571867153241
BGR,Bulgaria,2014,7.22,11.4,42.7622,11.53,2014-01-01,27.80074,28.20403,0.26963065511128986,0.7335571867153241
CZE,Czech Republic,2014,10.53,6.1,156.6608,65.59,2014-01-01,129.3167,119.3461,0.4186752525200944,0.7335571867153241
DNK,Denmark,2014,5.64,6.6,265.2316,116.8,2014-01-01,144.5986,126.1418,0.44036985034965664,0.7335571867153241
DEU,Germany,2014,80.98,5,2923.93,2189.6,2014-01-01,1334.833,1144.106,0.7488551367508798,0.7335571867153241
EST,Estonia,2014,1.32,7.4,19.75825,2.108,2014-01-01,16.4106,15.71517,0.10668961066896107,0.7335571867153241
IRL,Ireland,2014,4.62,11.3,193.1596,203.3,2014-01-01,219.79,185.182,1.0524975201853803,0.7335571867153241
GRC,Greece,2014,10.89,26.5,177.9406,319.7,2014-01-01,57.83746,62.17087,1.7966669776318616,0.7335571867153241
ESP,Spain,2014,46.48,24.5,1037.025,1041.6,2014-01-01,338.769,313.698,1.0044116583496057,0.7335571867153241
FRA,France,2014,66.22,10.3,2139.964,2038,2014-01-01,619.459,661.983,0.952352469480795,0.7335571867153241
HRV,Croatia,2014,4.24,17.2,42.97767,37.11,2014-01-01,19.95309,19.09172,0.8634716586543663,0.7335571867153241
ITA,Italy,2014,60.79,12.7,1621.827,2137.2,2014-01-01,475.301,429.0261,1.3177731040363736,0.7335571867153241
CYP,Cyprus,2014,0.85,16.1,17.56735,18.82,2014-01-01,10.9256,10.56494,1.0713055753998184,0.7335571867153241
LVA,Latvia,2014,1.99,10.8,23.63115,9.66,2014-01-01,14.0678,14.51541,0.4087824756729994,0.7335571867153241
LTU,Lithuania,2014,2.93,10.7,36.59005,14.83,2014-01-01,29.59943,28.8985,0.40530144123880674,0.7335571867153241
LUX,Luxembourg,2014,0.56,6,49.97089,11.21,2014-01-01,103.0908,86.1098,0.2243306052783931,0.7335571867153241
HUN,Hungary,2014,9.87,7.7,104.9547,77.69,2014-01-01,93.0478,85.7621,0.7402241157375515,0.7335571867153241
MLT,Malta,2014,0.43,5.8,8.43299,5.421,2014-01-01,12.64389,11.58145,0.6428324947616445,0.7335571867153241
NLD,Netherlands,2014,16.87,7.4,663.008,450.5,2014-01-01,547.415,475.53,0.679478980645784,0.7335571867153241
